"dimDateID","dateCode","dateName","yearCode","yearName","halfyearCode","halfyearName","seasonCode","seasonName","monthCode","monthName","dayCode","dayName","weekCode","weekName","weekdayCode","weekdayName","yearweekCode","yearweekName","yeardayTB","yeardayHB","yearweekTB","yearweekHB","yearmonthTB","yearmonthHB","lunarCalendar"
"20110101","1/1/2011","2011年1月1日","2011","2011年","1","上半年","1","1季","1","01月","1","01日","1","第01周","6","星期六","201101","2011年01周","20100101","20101201",,,"201001","201012",
"20110102","2/1/2011","2011年1月2日","2011","2011年","1","上半年","1","1季","1","01月","2","02日","1","第01周","7","星期日","201101","2011年01周","20100102","20101202",,,"201001","201012",
"20110103","3/1/2011","2011年1月3日","2011","2011年","1","上半年","1","1季","1","01月","3","03日","2","第02周","1","星期一","201102","2011年02周","20100103","20101203",,,"201001","201012",
"20110104","4/1/2011","2011年1月4日","2011","2011年","1","上半年","1","1季","1","01月","4","04日","2","第02周","2","星期二","201102","2011年02周","20100104","20101204",,,"201001","201012",
"20110105","5/1/2011","2011年1月5日","2011","2011年","1","上半年","1","1季","1","01月","5","05日","2","第02周","3","星期三","201102","2011年02周","20100105","20101205",,,"201001","201012",
"20110106","6/1/2011","2011年1月6日","2011","2011年","1","上半年","1","1季","1","01月","6","06日","2","第02周","4","星期四","201102","2011年02周","20100106","20101206",,,"201001","201012",
"20110107","7/1/2011","2011年1月7日","2011","2011年","1","上半年","1","1季","1","01月","7","07日","2","第02周","5","星期五","201102","2011年02周","20100107","20101207",,,"201001","201012",
"20110108","8/1/2011","2011年1月8日","2011","2011年","1","上半年","1","1季","1","01月","8","08日","2","第02周","6","星期六","201102","2011年02周","20100108","20101208",,,"201001","201012",
"20110109","9/1/2011","2011年1月9日","2011","2011年","1","上半年","1","1季","1","01月","9","09日","2","第02周","7","星期日","201102","2011年02周","20100109","20101209",,,"201001","201012",
"20110110","10/1/2011","2011年1月10日","2011","2011年","1","上半年","1","1季","1","01月","10","10日","3","第03周","1","星期一","201103","2011年03周","20100110","20101210",,,"201001","201012",
"20110111","11/1/2011","2011年1月11日","2011","2011年","1","上半年","1","1季","1","01月","11","11日","3","第03周","2","星期二","201103","2011年03周","20100111","20101211",,,"201001","201012",
"20110112","12/1/2011","2011年1月12日","2011","2011年","1","上半年","1","1季","1","01月","12","12日","3","第03周","3","星期三","201103","2011年03周","20100112","20101212",,,"201001","201012",
"20110113","13/1/2011","2011年1月13日","2011","2011年","1","上半年","1","1季","1","01月","13","13日","3","第03周","4","星期四","201103","2011年03周","20100113","20101213",,,"201001","201012",
"20110114","14/1/2011","2011年1月14日","2011","2011年","1","上半年","1","1季","1","01月","14","14日","3","第03周","5","星期五","201103","2011年03周","20100114","20101214",,,"201001","201012",
"20110115","15/1/2011","2011年1月15日","2011","2011年","1","上半年","1","1季","1","01月","15","15日","3","第03周","6","星期六","201103","2011年03周","20100115","20101215",,,"201001","201012",
"20110116","16/1/2011","2011年1月16日","2011","2011年","1","上半年","1","1季","1","01月","16","16日","3","第03周","7","星期日","201103","2011年03周","20100116","20101216",,,"201001","201012",
"20110117","17/1/2011","2011年1月17日","2011","2011年","1","上半年","1","1季","1","01月","17","17日","4","第04周","1","星期一","201104","2011年04周","20100117","20101217",,,"201001","201012",
"20110118","18/1/2011","2011年1月18日","2011","2011年","1","上半年","1","1季","1","01月","18","18日","4","第04周","2","星期二","201104","2011年04周","20100118","20101218",,,"201001","201012",
"20110119","19/1/2011","2011年1月19日","2011","2011年","1","上半年","1","1季","1","01月","19","19日","4","第04周","3","星期三","201104","2011年04周","20100119","20101219",,,"201001","201012",
