"salesID","salesNo","dimDateID","dimShopID","dimMemberID","QTY","AMT","pAMT","mpAMT","updateTime"
"1","34131002542176","20170602","33","4821","1","7.99","0","0.21","9/9/2017 02:24:16"
"2","34131002542177","20170602","34","1730","1","227","0","12","9/9/2017 02:24:16"
"3","34131002542178","20170602","33","513","5.046","75.64","0","3.022","9/9/2017 02:24:16"
"4","34131002542179","20170602","34","4624","1.422","40.82","0","2.6992","9/9/2017 02:24:16"
"5","34131002542180","20170602","34","6348","17","208.6","0","9.21","9/9/2017 02:24:16"
"6","34131002542181","20170602","34","4966","7.49","36.23","0","1.34","9/9/2017 02:24:16"
"7","34131002542182","20170602","34","6452","15.316","40.68","0","2.2669","9/9/2017 02:24:16"
"8","34131002542183","20170602","34","168","12","144.88","0","6.64","9/9/2017 02:24:16"
"9","34131002542184","20170602","33","2153","0.546","19.66","0","2.0708","9/9/2017 02:24:16"
"10","34131002542185","20170602","33","0","3.954","17.04","0","0","9/9/2017 02:24:16"
"11","34131002542186","20170602","34","0","2","6.27","0","0","9/9/2017 02:24:16"
"12","34131002542187","20170602","34","7452","4.318","95.74","29.9","8.2048","9/9/2017 02:24:16"
"13","34131002542188","20170602","34","0","4","36.94","0","0","9/9/2017 02:24:16"
"14","34131002542189","20170602","33","0","3","10.47","0","0","9/9/2017 02:24:16"
"15","34131002542190","20170602","34","2824","1","139","0","10","9/9/2017 02:24:16"
"16","34131002542191","20170602","34","7940","4.456","45.18","0","0.8475","9/9/2017 02:24:16"
"17","34131002542192","20170602","34","6682","4.784","41.65","0","2.3518","9/9/2017 02:24:16"
"18","34131002542193","20170602","34","5510","0.316","9.04","0","0.3136","9/9/2017 02:24:16"
"19","34131002542194","20170602","34","0","6","143.4","0","0","9/9/2017 02:24:16"
"20","34131002542195","20170602","33","6937","1.238","12","0","0.6436","9/9/2017 02:24:16"
"21","34131002542196","20170602","33","637","2.302","31.24","0","1.4726","9/9/2017 02:24:16"
"22","34131002542197","20170602","33","6301","3.734","20.97","0","1.6165","9/9/2017 02:24:16"
"23","34131002542198","20170602","33","7255","2","3.97","0","0.21","9/9/2017 02:24:16"
"24","34131002542199","20170602","34","3546","2.396","34.77","0","1.844","9/9/2017 02:24:16"
"25","34131002542200","20170602","34","2696","6.468","26.33","0","1.0478","9/9/2017 02:24:16"
"26","34131002542201","20170602","33","0","4","20.67","0","0","9/9/2017 02:24:16"
"27","34131002542202","20170602","34","6250","3","113","0","1.9","9/9/2017 02:24:16"
"28","34131002542203","20170602","34","3712","3.86","28.38","0","1.4454","9/9/2017 02:24:16"
"29","34131002542204","20170602","34","3932","7","37.04","0","1.91","9/9/2017 02:24:16"
"30","34131002542205","20170602","33","9277","11.488","108.86","0","6.759","9/9/2017 02:24:16"
"31","34131002542206","20170602","34","0","0.546","6.83","0","0","9/9/2017 02:24:16"
"32","34131002542207","20170602","33","0","11.29","97.02","0","0","9/9/2017 02:24:16"
"33","34131002542208","20170602","33","4117","4.686","58.12","0","3.9096","9/9/2017 02:24:16"
"34","34131002542209","20170602","34","3996","4.41","39.94","0","1.1672","9/9/2017 02:24:16"
"35","34131002542210","20170602","34","0","1","0.2","0","0","9/9/2017 02:24:16"
"36","34131002542211","20170602","33","0","20","978","0","0","9/9/2017 02:24:16"
"37","34131002542212","20170602","33","3077","2.582","15.97","0","0.8264","9/9/2017 02:24:16"
"38","34131002542213","20170602","33","3783","2.974","47.11","0","1.8507","9/9/2017 02:24:16"
"39","34131002542214","20170602","34","0","2","13.79","0","0","9/9/2017 02:24:16"
"40","34131002542215","20170602","33","5459","4.344","36.74","0","1.301","9/9/2017 02:24:16"
"41","34131002542216","20170602","33","4975","12.014","95.9","0","5.7715","9/9/2017 02:24:16"
"42","34131002542217","20170602","34","6706","1","16.9","0","1","9/9/2017 02:24:16"
"43","34131002542218","20170602","34","10026","2","113.8","0","4","9/9/2017 02:24:16"
"44","34131002542219","20170602","33","10045","4.288","54.78","0","3.1844","9/9/2017 02:24:16"
"45","34131002542220","20170602","34","7328","5","19.95","0","1","9/9/2017 02:24:16"
"46","34131002542221","20170602","33","0","3.23","32.04","0","0","9/9/2017 02:24:16"
"47","34131002542222","20170602","34","7808","3.656","58.65","0","1.1644","9/9/2017 02:24:16"
"48","34131002542223","20170602","33","0","4.138","32.8","0","0","9/9/2017 02:24:16"
"49","34131002542224","20170602","33","7507","1.468","21.66","0","0.6509","9/9/2017 02:24:16"
"50","34131002542225","20170602","34","410","1","3.79","0","0.2","9/9/2017 02:24:16"
"51","34131002542226","20170602","33","3539","12","159.66","0","7.24","9/9/2017 02:24:16"
"52","34131002542227","20170602","33","7529","2.03","24.38","0","0.9209","9/9/2017 02:24:16"
