"id","salesID","salesNo","dimDateID","dimShopID","goodsID","QTY","AMT","pAMT","mpAMT","updateTime"
"1","1","34131002542176","20170602","33","5130942","1","7.99","0","0.21","9/9/2017 02:24:25"
"2","2","34131002542177","20170602","34","7116060","1","227","0","12","9/9/2017 02:24:25"
"3","3","34131002542178","20170602","33","5621350","4","38","0","1.96","9/9/2017 02:24:25"
"4","3","34131002542178","20170602","33","5613232","1.046","37.64","0","1.062","9/9/2017 02:24:25"
"5","4","34131002542179","20170602","34","1170812","1","19.8","0","1.1","9/9/2017 02:24:25"
"6","4","34131002542179","20170602","34","5660081","0.422","21.02","0","1.5992","9/9/2017 02:24:25"
"7","5","34131002542180","20170602","34","6610605","4","39.96","0","3.64","9/9/2017 02:24:25"
"8","5","34131002542180","20170602","34","6220304","3","29.97","0","1.83","9/9/2017 02:24:25"
"9","5","34131002542180","20170602","34","6210819","1","11.5","0","0.4","9/9/2017 02:24:25"
"10","5","34131002542180","20170602","34","6210717","1","36.8","0","0.9","9/9/2017 02:24:25"
"11","5","34131002542180","20170602","34","6111321","1","39.9","0","0","9/9/2017 02:24:25"
"12","5","34131002542180","20170602","34","6120627","1","26.21","0","1.38","9/9/2017 02:24:25"
"13","5","34131002542180","20170602","34","6111014","4","15.96","0","0.8","9/9/2017 02:24:25"
"14","5","34131002542180","20170602","34","6110985","2","8.3","0","0.26","9/9/2017 02:24:25"
"15","6","34131002542181","20170602","34","6630492","2","7.98","0","0.4","9/9/2017 02:24:25"
"16","6","34131002542181","20170602","34","6620089","1","2.62","0","0.14","9/9/2017 02:24:25"
"17","6","34131002542181","20170602","34","6110917","3","7.8","0","0.3","9/9/2017 02:24:25"
"18","6","34131002542181","20170602","34","6790295","1","0.2","0","0","9/9/2017 02:24:25"
"19","6","34131002542181","20170602","34","5613232","0.49","17.63","0","0.5","9/9/2017 02:24:25"
"20","7","34131002542182","20170602","34","1520204","5","6.25","0","0.35","9/9/2017 02:24:25"
"21","7","34131002542182","20170602","34","6790295","1","0.2","0","0","9/9/2017 02:24:25"
"22","7","34131002542182","20170602","34","5410479","2.316","11.07","0","0.9269","9/9/2017 02:24:25"
"23","7","34131002542182","20170602","34","4240085","1","3.98","0","0.21","9/9/2017 02:24:25"
"24","7","34131002542182","20170602","34","4310614","2","4.9","0","0.2","9/9/2017 02:24:25"
