"大区编码","大区名称","门店编码","门店名称","商品编码","商品名称","一级品类","二级品类","品牌","实际收入","促销折扣额","会员折扣额","销售件数","综合折扣率","销售状态","收入贡献排名","滞销排名","商品分类","榜单标签"
"BJOOOO","北京大区","BJ0002","东城店","9640432","伟嘉吞拿鱼及三文鱼成猫猫粮300g","烟酒纯鲜奶","酒","伟嘉","0","0","0","0",,"零销售","1","12894",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640433","伟嘉成猫猫粮香酥牛柳味300g","烟酒纯鲜奶","酒","伟嘉","0","0","0","0",,"零销售","2","12895",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640434","伟嘉吞拿鱼及三文鱼成猫猫粮1.3kg","烟酒纯鲜奶","酒","伟嘉","0","0","0","0",,"零销售","3","12896",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640435","伟嘉成猫猫粮精选海鲜味1.3kg","烟酒纯鲜奶","酒","伟嘉","0","0","0","0",,"零销售","4","12897",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640436","伟嘉成猫猫粮海洋鱼味1.3kg","烟酒纯鲜奶","酒","伟嘉","0","0","0","0",,"零销售","5","12898",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640438","宝路钙力健爱犬零食75g","烟酒纯鲜奶","酒","宝路","0","0","0","0",,"零销售","6","12899",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640439","宝路倍亮宝爱犬零食75g","烟酒纯鲜奶","酒","宝路","0","0","0","0",,"零销售","7","12900",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640440","宝路钙奶棒幼犬零食60g","烟酒纯鲜奶","酒","宝路","0","0","0","0",,"零销售","8","12901",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640441","宝路成犬粮(牛肉肝蔬菜谷物)7.5kg","烟酒纯鲜奶","酒","宝路","0","0","0","0",,"零销售","9","12902",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640442","伟嘉幼猫妙鲜包猫粮海洋鱼85g","烟酒纯鲜奶","酒","伟嘉","0","0","0","0",,"零销售","10","12903",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640443","伟嘉成猫妙鲜包猫粮精选牛肉85g","烟酒纯鲜奶","酒","伟嘉","0","0","0","0",,"零销售","11","12904",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640456","佳乐滋成猫猫粮(三文鱼鸡肉菜鱼)450克","烟酒纯鲜奶","酒","佳乐滋","0","0","0","0",,"零销售","12","12905",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640457","佳乐滋幼犬犬粮(鸡肉牛肉菜牛奶)450克","烟酒纯鲜奶","酒","佳乐滋","0","0","0","0",,"零销售","13","12906",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640458","佳乐滋成犬犬粮(牛肉蔬菜金枪鱼)500克","烟酒纯鲜奶","酒","佳乐滋","0","0","0","0",,"零销售","14","12907",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640459","佳乐滋成犬犬粮(鸡肉牛肉蔬菜鱼)500克","烟酒纯鲜奶","酒","佳乐滋","0","0","0","0",,"零销售","15","12908",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640460","佳乐滋成犬犬粮(鸡肉牛肉蔬菜鱼)1.6千克","烟酒纯鲜奶","酒","佳乐滋","0","0","0","0",,"零销售","16","12909",,"收入TOP20"
"BJOOOO","北京大区","BJ0002","东城店","9640462","佳乐滋成犬犬粮(牛肉蔬菜金枪鱼)1.6千克","烟酒纯鲜奶","酒","佳乐滋","0","0","0","0",,"零销售","17","12910",,"收入TOP20"
