"一级品类编码","一级品类","二级品类编码","二级品类","实际收入","促销折扣额","会员折扣额","销售件数","订单数","收入占比","累计收入占比","综合折扣率","客单价","ABC等级","折扣依赖度"
"40","烟酒纯鲜奶","44","烟","415689.28","9725.1","7307.5627","9125","3556","12.54","12.54","3.94","116.9","A类（核心）","低折扣（价格坚挺）"
"59","烟酒纯鲜奶","59","酒","291077.54","395.12","7012.29","57230.212","7466","8.78","21.32","2.48","38.99","A类（核心）","低折扣（价格坚挺）"
"59","烟酒纯鲜奶","59","烟","232505.2","3923.7","6148.3811","23619.923","12657","7.01","28.34","4.15","18.37","A类（核心）","低折扣（价格坚挺）"
"10","烟酒纯鲜奶","10","烟","152632","14971","0","5025","110","4.6","32.94","8.93","1387.56","A类（核心）","中等折扣"
"60","烟酒纯鲜奶","62","烟","124014.95","167.854","2596.67","10878","6534","3.74","36.68","2.18","18.98","A类（核心）","低折扣（价格坚挺）"
"53","烟酒纯鲜奶","1","烟","108312.59","0","4755.4225","12526.219","7787","3.27","39.95","4.21","13.91","A类（核心）","低折扣（价格坚挺）"
"66","烟酒纯鲜奶","66","烟","99652.18","1710.958","2292.96","10625","4361","3.01","42.96","3.86","22.85","A类（核心）","低折扣（价格坚挺）"
"60","烟酒纯鲜奶","62","酒","92669.01","175.84","1597.94","4987","3667","2.8","45.75","1.88","25.27","A类（核心）","低折扣（价格坚挺）"
"10","烟酒纯鲜奶","13","酒","87856.42","3430.4","518.09","15888","2650","2.65","48.4","4.3","33.15","A类（核心）","低折扣（价格坚挺）"
"20","烟酒纯鲜奶","22","酒","81714.15","950.065","2392.61","5093","2119","2.47","50.87","3.93","38.56","A类（核心）","低折扣（价格坚挺）"
"56","烟酒纯鲜奶","1","烟","73825.95","0","3004.4912","4249.108","4978","2.23","53.09","3.91","14.83","A类（核心）","低折扣（价格坚挺）"
"60","烟酒纯鲜奶","61","烟","67598.24","547.78","1659.73","8105","4461","2.04","55.13","3.16","15.15","A类（核心）","低折扣（价格坚挺）"
"54","烟酒纯鲜奶","1","烟","67011.06","0","3526.8019","11811.092","10396","2.02","57.15","5","6.45","A类（核心）","中等折扣"
"30","烟酒纯鲜奶","33","酒","63872.38","184.2","1763","12244.086","4470","1.93","59.08","2.96","14.29","A类（核心）","低折扣（价格坚挺）"
